epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,20325.6,0.2051,0.15574,0.78282,0.94387,0.89686,0.93628,0.71533,0.95257,0.53058,1.18394,0.004654,0.004654,0.004654
110,20513.5,0.20492,0.15573,0.78229,0.94379,0.897,0.93606,0.7143,0.95181,0.53175,1.1833,0.0046045,0.0046045,0.0046045
111,20700.5,0.20112,0.15351,0.78161,0.94414,0.89712,0.93593,0.71496,0.95171,0.5314,1.18319,0.004555,0.004555,0.004555
112,20887.7,0.19858,0.1523,0.78126,0.94326,0.89683,0.93608,0.71609,0.9512,0.53137,1.18292,0.0045055,0.0045055,0.0045055
113,21074.5,0.19975,0.15198,0.78122,0.94319,0.89671,0.93576,0.7159,0.95095,0.53222,1.18326,0.004456,0.004456,0.004456
114,21261.6,0.19462,0.14968,0.78065,0.94267,0.89637,0.93571,0.71538,0.95045,0.53358,1.18289,0.0044065,0.0044065,0.0044065
115,21448.4,0.19528,0.15028,0.78099,0.94164,0.89762,0.9366,0.7159,0.95026,0.53408,1.1831,0.004357,0.004357,0.004357
116,21635.7,0.19365,0.14885,0.78032,0.94017,0.89895,0.93649,0.7163,0.9497,0.53313,1.18314,0.0043075,0.0043075,0.0043075
117,21822.6,0.19241,0.14874,0.77938,0.94276,0.8959,0.93571,0.71534,0.94948,0.53422,1.18308,0.004258,0.004258,0.004258
118,22009.2,0.19036,0.1469,0.77984,0.94084,0.89606,0.93577,0.71589,0.94953,0.53349,1.18327,0.0042085,0.0042085,0.0042085
119,22195.9,0.1905,0.14754,0.7794,0.94488,0.89487,0.93573,0.71572,0.94895,0.53309,1.18299,0.004159,0.004159,0.004159
120,22383,0.18872,0.14651,0.77913,0.94361,0.89504,0.93578,0.71547,0.94852,0.53341,1.18281,0.0041095,0.0041095,0.0041095
121,22570.3,0.18633,0.1457,0.77845,0.94409,0.89484,0.93586,0.71502,0.9488,0.53439,1.18323,0.00406,0.00406,0.00406
122,22757.9,0.18399,0.14287,0.77788,0.94461,0.89441,0.93574,0.71471,0.94898,0.53496,1.18368,0.0040105,0.0040105,0.0040105
123,22944.8,0.18072,0.14167,0.777,0.94331,0.89671,0.9365,0.71512,0.94906,0.53483,1.18392,0.003961,0.003961,0.003961
124,23131.1,0.18183,0.14231,0.77781,0.94456,0.8939,0.93574,0.71508,0.94916,0.5352,1.1839,0.0039115,0.0039115,0.0039115
125,23317.1,0.18128,0.14273,0.77773,0.94445,0.89386,0.9358,0.71578,0.94918,0.53552,1.18385,0.003862,0.003862,0.003862
126,23502.9,0.17934,0.14246,0.77717,0.94232,0.89595,0.93653,0.7161,0.94894,0.53515,1.18389,0.0038125,0.0038125,0.0038125
127,23688.7,0.17699,0.13957,0.77682,0.94287,0.89499,0.93586,0.71595,0.94907,0.53491,1.18443,0.003763,0.003763,0.003763
128,23874.5,0.17693,0.14094,0.77701,0.94304,0.89513,0.93599,0.71553,0.94913,0.53573,1.18472,0.0037135,0.0037135,0.0037135
129,24061,0.17461,0.13873,0.7759,0.94343,0.89461,0.93597,0.71607,0.94959,0.53612,1.18555,0.003664,0.003664,0.003664
130,24247.7,0.17381,0.13754,0.77603,0.94315,0.89511,0.93607,0.71618,0.94919,0.53644,1.1854,0.0036145,0.0036145,0.0036145
131,24433.7,0.16965,0.13508,0.77499,0.94328,0.89521,0.93615,0.71563,0.94946,0.53652,1.186,0.003565,0.003565,0.003565
132,24623.3,0.16943,0.13571,0.77551,0.94361,0.89485,0.9363,0.71607,0.94918,0.5361,1.18581,0.0035155,0.0035155,0.0035155
